city,province,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,furnishing,availability_date,smoking,cats,dogs
Airdrie,Alberta,51.3059622,-114.012515,Long Term,Townhouse,2495,2,2.5,1403,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.3059622,-114.012515,Long Term,Townhouse,2695,3,2.5,1496,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.3059622,-114.012515,Long Term,Townhouse,2295,2,2.5,1180,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.3059622,-114.012515,Long Term,Townhouse,2095,2,2.5,1403,Unfurnished,2025-11-18,Non-Smoking,True,True
Airdrie,Alberta,51.3059622,-114.012515,Long Term,Townhouse,2495,2,2.5,1403,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.3059622,-114.012515,Long Term,Townhouse,2095,2,2.5,1403,Unfurnished,2025-11-18,Non-Smoking,True,True
Airdrie,Alberta,51.3059622,-114.012515,Long Term,Townhouse,2495,2,2.5,1351,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.2717246,-114.0201348,Negotiable,Apartment,2390,0,1,361,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.2717246,-114.0201348,Negotiable,Apartment,3615,1,1,525,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.2717246,-114.0201348,Negotiable,Apartment,4520,2,1,810,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.2717246,-114.0201348,Negotiable,Apartment,1930,0,1,265,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.2852509,-114.0101276,Long Term,Main Floor,1700,2,1,997,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.3045767,-114.0216833,Long Term,House,2550,3,2.5,1707,Unfurnished,2025-02-21,Non-Smoking,False,True
Airdrie,Alberta,51.276103,-114.0038583,Long Term,House,3150,5,2,2262,Unfurnished,2025-02-21,Non-Smoking,True,False
Airdrie,Alberta,51.2807159,-114.0244446,Long Term,House,3195,3,2.5,1707,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2631292,-114.0411654,Long Term,Basement,1500,2,1,900,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2519353,-114.0137782,Long Term,Townhouse,2300,3,2.5,1600,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.270215,-114.031145,Long Term,Apartment,2000,1,1,602,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.270215,-114.031145,Long Term,Apartment,2225,2,2,886,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.291531,-114.0420409,Short Term,Townhouse,2300,3,1.5,1086,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.2496714,-114.0309421,12 months,Townhouse,2099,2,2.5,1265,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.289386,-114.0213568,Long Term,Apartment,1680,1,1,667,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.289386,-114.0213568,Long Term,Apartment,1685,1,1,669,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.289386,-114.0213568,Long Term,Apartment,1645,1,1,680,Unfurnished,2025-07-01,Non-Smoking,True,True
Airdrie,Alberta,51.289386,-114.0213568,Long Term,Apartment,1910,2,2,939,Unfurnished,2025-07-01,Non-Smoking,True,True
